Neuroticism,Extraversion,pos_affect,neg_affect
10.0,16.0,0.25,0.0
6.0,10.0,0.75,0.0
5.0,10.0,1.5,0.0
10.0,15.0,1.0,0.0
10.0,19.0,1.75,0.0
12.0,13.0,0.0,0.3333333333333333
7.0,12.0,1.5,0.0
12.0,12.0,0.0,0.0
6.0,18.0,0.5,0.0
19.0,13.0,1.0,0.0
10.0,13.0,1.75,0.0
11.0,18.0,0.75,0.6666666666666666
6.0,12.0,0.5,0.0
19.0,9.0,0.0,0.0
7.0,12.0,2.75,0.3333333333333333
9.0,15.0,1.25,0.0
14.0,5.0,0.0,1.6666666666666667
15.0,11.0,2.6666666666666665,0.0
8.0,11.0,0.25,0.0
7.0,20.0,0.75,0.0
18.0,7.0,0.0,0.0
1.0,12.0,1.0,0.0
4.0,17.0,0.5,0.0
4.0,14.0,0.75,0.0
4.0,14.0,0.75,0.0
5.0,9.0,0.75,0.0
15.0,7.0,1.25,0.3333333333333333
14.0,13.0,0.0,1.0
17.0,14.0,0.0,0.3333333333333333
9.0,18.0,0.0,0.0
17.0,20.0,0.0,0.0
5.0,16.0,2.0,0.3333333333333333
7.0,15.0,1.75,0.3333333333333333
10.0,18.0,0.0,0.0
5.0,15.0,1.25,0.0
13.0,17.0,0.75,1.0
18.0,18.0,1.5,0.0
7.0,14.0,0.5,0.0
9.0,11.0,0.0,0.0
14.0,16.0,1.25,0.3333333333333333
14.0,18.0,2.5,0.0
21.0,12.0,0.75,0.0
15.0,7.0,0.25,0.0
3.0,8.0,0.25,0.0
21.0,10.0,1.0,1.3333333333333333
10.0,13.0,1.0,0.0
3.0,18.0,2.25,0.0
9.0,11.0,0.0,0.0
13.0,19.0,1.75,0.0
10.0,5.0,0.5,1.0
14.0,8.0,0.5,0.0
10.0,19.0,1.25,0.25
6.0,15.0,0.5,0.0
6.0,5.0,1.5,0.25
8.0,14.0,2.0,0.25
9.0,5.0,0.5,0.5
9.0,11.0,0.75,0.0
6.0,13.0,0.0,0.0
17.0,17.0,0.5,0.3333333333333333
2.0,17.0,2.0,0.0
5.0,7.0,0.75,0.25
6.0,9.0,1.25,0.5
3.0,14.0,3.0,0.0
18.0,15.0,0.25,1.25
15.0,12.0,0.75,0.25
2.0,15.0,0.5,0.25
13.0,8.0,1.25,0.25
20.0,10.0,0.0,0.25
15.0,14.0,0.75,0.25
3.0,14.0,1.75,0.0
12.0,13.0,0.75,0.0
12.0,8.0,0.25,0.5
3.0,15.0,3.0,0.0
7.0,11.0,1.0,0.0
18.0,16.0,2.5,0.0
22.0,17.0,0.25,0.0
9.0,15.0,1.0,0.0
14.0,17.0,2.0,0.75
14.0,15.0,1.0,0.25
9.0,15.0,0.0,0.0
9.0,11.0,0.5,0.0
6.0,13.0,0.75,0.0
2.0,13.0,0.25,0.0
11.0,11.0,0.0,0.0
10.0,11.0,1.25,0.25
20.0,15.0,0.0,1.5
4.0,10.0,0.25,0.0
5.0,10.0,0.0,0.75
14.0,14.0,0.0,1.25
7.0,4.0,0.0,0.0
11.0,15.0,1.0,0.25
3.0,15.0,1.5,0.0
6.0,13.0,1.25,0.0
11.0,12.0,1.5,0.75
14.0,17.0,0.75,0.0
11.0,17.0,0.5,0.5
11.0,19.0,2.0,0.75
13.0,16.0,2.0,0.5
13.0,11.0,1.0,1.0
16.0,10.0,0.5,2.0
15.0,10.0,0.75,0.5
9.0,15.0,0.25,0.5
11.0,17.0,0.0,0.75
9.0,10.0,1.5,0.75
16.0,14.0,0.5,0.25
9.0,13.0,1.75,0.0
6.0,7.0,1.5,0.5
13.0,14.0,0.5,0.5
4.0,9.0,0.5,0.0
5.0,15.0,0.25,0.0
16.0,15.0,1.25,0.5
5.0,19.0,1.0,0.0
13.0,8.0,1.0,0.75
12.0,18.0,0.5,0.5
8.0,13.0,1.75,0.5
8.0,8.0,0.25,0.25
13.0,14.0,0.0,1.0
2.0,19.0,1.0,0.0
4.0,10.0,0.5,0.0
6.0,7.0,1.0,0.5
16.0,8.0,0.75,0.0
4.0,19.0,1.5,0.0
3.0,16.0,0.75,0.0
11.0,10.0,2.0,0.0
4.0,13.0,0.25,0.0
16.0,7.0,0.0,0.0
15.0,16.0,1.5,1.75
18.0,11.0,0.5,0.25
15.0,3.0,0.25,0.75
17.0,13.0,0.0,0.25
14.0,17.0,0.25,0.0
6.0,13.0,1.0,0.25
9.0,15.0,2.0,0.75
15.0,9.0,0.5,1.0
2.0,14.0,2.25,0.0
11.0,13.0,0.25,1.5
3.0,10.0,1.25,0.5
13.0,17.0,0.75,0.0
15.0,12.0,0.0,0.0
20.0,15.0,2.25,1.0
7.0,11.0,0.25,0.0
17.0,9.0,1.0,1.5
17.0,7.0,0.25,0.5
11.0,7.0,0.5,0.5
9.0,18.0,0.5,0.0
14.0,9.0,2.0,0.75
16.0,8.0,1.25,0.0
4.0,17.0,1.75,0.5
5.0,20.0,2.25,0.25
14.0,14.0,0.25,1.0
9.0,7.0,0.0,0.0
17.0,15.0,0.0,1.0
9.0,13.0,1.5,0.25
15.0,16.0,2.5,1.25
12.0,11.0,1.0,0.75
18.0,17.0,0.0,0.0
22.0,14.0,0.5,1.25
11.0,8.0,2.5,0.75
6.0,12.0,0.0,0.5
10.0,17.0,0.75,0.0
3.0,18.0,2.0,0.0
6.0,21.0,1.0,0.75
15.0,12.0,1.5,0.5
8.0,11.0,1.75,0.25
4.0,10.0,2.5,0.0
19.0,12.0,2.0,0.75
15.0,12.0,0.25,0.25
12.0,12.0,0.0,0.0
14.0,15.0,0.75,0.0
23.0,19.0,1.25,0.75
9.0,12.0,1.0,0.25
14.0,9.0,1.0,0.5
4.0,17.0,2.25,0.5
6.0,13.0,0.25,0.0
6.0,13.0,1.25,0.25
19.0,15.0,1.0,1.0
14.0,6.0,1.25,0.25
13.0,6.0,0.75,0.0
13.0,16.0,0.0,0.5
7.0,16.0,0.0,0.25
13.0,11.0,0.25,0.5
7.0,11.0,0.5,0.25
13.0,9.0,1.0,0.0
19.0,15.0,0.25,1.5
16.0,13.0,1.0,0.25
8.0,20.0,0.75,0.25
9.0,13.0,2.0,0.0
16.0,16.0,0.75,0.0
20.0,13.0,2.25,0.5
18.0,12.0,0.75,0.25
6.0,12.0,0.0,0.75
5.0,14.0,2.75,0.5
16.0,15.0,0.5,0.0
17.0,14.0,0.0,0.0
18.0,5.0,0.25,0.75
12.0,19.0,0.75,0.0
16.0,13.0,1.25,0.5
6.0,11.0,0.5,0.0
14.0,15.0,1.75,0.75
8.0,18.0,0.0,0.0
23.0,19.0,0.5,0.25
12.0,13.0,1.75,0.25
8.0,10.0,0.5,0.0
8.0,3.0,0.75,0.25
11.0,14.0,2.25,0.0
6.0,13.0,0.0,0.25
4.0,17.0,0.0,0.0
10.0,10.0,2.0,0.25
6.0,15.0,1.0,0.25
14.0,6.0,0.25,0.0
13.0,6.0,0.0,1.0
18.0,15.0,0.25,0.0
10.0,16.0,1.25,0.0
14.0,3.0,0.5,0.25
18.0,13.0,1.0,0.5
7.0,16.0,0.0,0.0
13.0,7.0,0.75,0.0
11.0,13.0,1.75,0.75
10.0,16.0,0.25,0.0
11.0,11.0,1.5,0.0
7.8,15.0,0.75,0.25
16.0,12.0,0.0,0.0
5.0,16.0,2.0,1.25
7.0,16.0,0.5,0.25
10.0,16.0,0.5,0.75
8.0,18.0,0.25,0.75
5.0,17.0,0.5,0.25
12.0,10.0,1.25,0.5
5.0,19.0,2.25,0.5
10.0,7.0,1.5,0.5
7.0,10.0,0.25,0.0
4.0,16.0,0.75,0.0
8.0,14.0,1.0,0.0
17.0,8.0,0.5,0.75
4.0,18.0,1.25,0.0
9.0,17.0,0.5,0.0
4.0,19.0,0.0,0.0
8.7,11.0,1.75,0.5
17.0,14.0,1.75,0.0
15.0,18.0,1.25,0.25
7.0,7.0,0.0,0.25
7.0,17.0,0.5,1.0
15.0,13.0,2.75,0.75
14.0,5.0,1.75,0.25
16.0,9.0,0.5,0.25
12.0,14.0,0.5,0.0
4.0,17.0,1.0,1.0
10.0,11.0,0.25,0.25
8.0,16.0,1.25,0.25
4.0,14.0,2.0,0.25
3.0,13.0,0.5,0.0
9.0,13.0,1.0,0.25
8.0,12.0,3.0,0.0
2.0,16.0,1.0,0.0
12.0,13.6,0.75,0.25
11.0,9.0,0.0,0.0
11.0,7.0,1.75,0.25
21.0,6.0,0.25,0.75
17.0,0.0,0.0,0.5
3.0,4.0,1.75,0.0
17.0,8.0,0.25,0.5
10.0,15.0,2.0,0.0
12.0,14.0,1.5,0.0
13.0,12.0,1.25,0.25
9.0,9.0,0.25,0.0
12.0,14.0,0.25,0.0
12.0,12.0,0.0,0.0
18.0,14.0,2.25,0.5
13.0,19.0,1.0,0.0
13.0,11.0,0.75,0.25
10.0,15.0,0.0,0.25
5.0,15.0,1.0,0.25
7.0,16.0,2.5,0.5
8.0,14.0,1.25,0.25
4.0,19.0,1.75,0.0
14.0,12.0,0.5,0.25
4.0,13.0,2.0,0.0
3.0,12.0,0.25,0.0
5.0,18.0,1.75,0.0
13.0,15.0,0.25,0.5
8.0,18.0,1.0,0.25
10.0,12.0,0.75,0.0
5.0,11.0,0.25,0.25
15.0,14.0,0.0,0.0
16.0,11.0,0.75,0.25
7.0,11.0,0.25,0.75
